method,mode,nulls,rmse,test_size,time,test_size_p
SVD,A,0.5,2.5359679485831244,259,0.0025322437286376953,0.4
classic,A,0.5,156638153145.94836,324,0.02547764778137207,0.5
word2vec,A,0.5,2.7720886729752214,324,0.0031585693359375,0.5
SVD,A,0.5,2.615187234096524,324,0.002467632293701172,0.5
classic,A,0.5,1.5019370776858674,389,0.019849777221679688,0.6
word2vec,A,0.5,2.6949701456431567,389,0.0026268959045410156,0.6
SVD,A,0.5,2.4982099267657607,389,0.002428293228149414,0.6
classic,A,0.5,1.4730463370724767,454,0.04482460021972656,0.7
word2vec,A,0.5,2.6248991558084684,454,0.005162239074707031,0.7
SVD,A,0.5,2.757663957151918,454,0.0025348663330078125,0.7
classic,A,0.5,1.67614371237979,519,0.006604194641113281,0.8
word2vec,A,0.5,2.7546497758233985,519,0.04830813407897949,0.8
SVD,A,0.5,2.684230811868387,519,0.0024261474609375,0.8
classic,A,0.5,3.8159986397355663,584,0.01581740379333496,0.9
word2vec,A,0.5,3.651947846531701,584,0.05955195426940918,0.9
SVD,A,0.5,4.515257881715246,584,0.0025360584259033203,0.9
classic,A,0.4,104955992108.35205,64,0.04287910461425781,0.1
word2vec,A,0.4,2.1704341752929572,64,0.013258218765258789,0.1
SVD,A,0.4,1.940284874422473,64,0.0012404918670654297,0.1
classic,A,0.4,48254176730.06916,129,0.010872125625610352,0.2
word2vec,A,0.4,2.1406754657233025,129,0.0318455696105957,0.2
SVD,A,0.4,2.070774968861668,129,0.010247468948364258,0.2
classic,A,0.4,76891348763.6258,194,0.023967742919921875,0.3
word2vec,A,0.4,2.471370931262381,194,0.0077588558197021484,0.3
SVD,A,0.4,2.4566160253410407,194,0.002672910690307617,0.3
classic,A,0.4,80562715539.36026,259,0.02430891990661621,0.4
word2vec,A,0.4,2.488924188151225,259,0.020780086517333984,0.4
SVD,A,0.4,2.5302931294417474,259,0.0026001930236816406,0.4
classic,A,0.4,191189172970.76843,324,0.013956069946289062,0.5
word2vec,A,0.4,2.5267051687176765,324,0.038808584213256836,0.5
SVD,A,0.4,2.585366076123531,324,0.002433300018310547,0.5
classic,A,0.4,1.5080344085799775,389,0.02041912078857422,0.6
word2vec,A,0.4,2.5271594535543813,389,0.0027246475219726562,0.6
SVD,A,0.4,2.488659943571967,389,0.0025877952575683594,0.6
classic,A,0.4,1.4820007703971951,454,0.01788163185119629,0.7
word2vec,A,0.4,3.761559555676627,454,0.0025599002838134766,0.7
SVD,A,0.4,2.7410420182217283,454,0.002377748489379883,0.7
classic,A,0.4,1.6868249279419605,519,0.011562585830688477,0.8
word2vec,A,0.4,3.5558747128879435,519,0.04627633094787598,0.8
SVD,A,0.4,2.6837853548696766,519,0.002454042434692383,0.8
classic,A,0.4,3.8204417565039557,584,0.005816936492919922,0.9
word2vec,A,0.4,3.4035642027809496,584,0.012192010879516602,0.9
SVD,A,0.4,3.9025323409399704,584,0.002354860305786133,0.9
classic,A,0.3,46331050754.232895,64,0.011201143264770508,0.1
word2vec,A,0.3,2.05265440635369,64,0.004403829574584961,0.1
SVD,A,0.3,1.943010707264648,64,0.0025086402893066406,0.1
classic,A,0.3,30436314874.43296,129,0.007503986358642578,0.2
word2vec,A,0.3,2.064654670672652,129,0.03408193588256836,0.2
SVD,A,0.3,2.070241215503336,129,0.0012140274047851562,0.2
classic,A,0.3,31506018591.81735,194,0.03922271728515625,0.3
word2vec,A,0.3,2.441922465098569,194,0.002864837646484375,0.3
SVD,A,0.3,2.4581694823961406,194,0.018475055694580078,0.3
classic,A,0.3,122571408988.8467,259,0.009275436401367188,0.4
word2vec,A,0.3,2.510926211911166,259,0.06884527206420898,0.4
SVD,A,0.3,2.531754873681583,259,0.002641439437866211,0.4
classic,A,0.3,74059581899.94745,324,0.014377832412719727,0.5
word2vec,A,0.3,2.599311774534387,324,0.009366989135742188,0.5
SVD,A,0.3,2.5885385228320246,324,0.002464771270751953,0.5
classic,A,0.3,1.504338808409921,389,0.011708974838256836,0.6
word2vec,A,0.3,2.4956801522145513,389,0.00445556640625,0.6
SVD,A,0.3,2.4905274218518954,389,0.0025038719177246094,0.6
classic,A,0.3,1.4762912730345665,454,0.04864621162414551,0.7
word2vec,A,0.3,2.705616204087071,454,0.002687692642211914,0.7
SVD,A,0.3,2.7456889944915517,454,0.002443075180053711,0.7
classic,A,0.3,1.6829688718987574,519,0.007644176483154297,0.8
word2vec,A,0.3,2.715214743781113,519,0.06434082984924316,0.8
SVD,A,0.3,2.68375589740499,519,0.0025267601013183594,0.8
classic,A,0.3,3.8196352828448354,584,0.034993648529052734,0.9
word2vec,A,0.3,3.660416013282582,584,0.002771615982055664,0.9
SVD,A,0.3,3.9610490004239796,584,0.0025157928466796875,0.9
classic,A,0.2,55269419959.66875,64,0.03538036346435547,0.1
word2vec,A,0.2,2.0386900871116627,64,0.0021920204162597656,0.1
SVD,A,0.2,1.9259612492740137,64,0.0013506412506103516,0.1
classic,A,0.2,8664820393.987255,129,0.007383584976196289,0.2
word2vec,A,0.2,2.0538308379352963,129,0.020654916763305664,0.2
SVD,A,0.2,2.0384092929913202,129,0.0011739730834960938,0.2
classic,A,0.2,17302912173.317696,194,0.008600711822509766,0.3
word2vec,A,0.2,2.433081181899425,194,0.07530927658081055,0.3
